class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
ZdraviLudia,79.005,2138112,ok,512,512,float64,-1018.464,5.447,-696.514,97.016,97.656,50.00,Height
ZdraviLudia,1P.000,8429568,ok,1024,1024,float64,-451.471,627.927,87.507,171.421,90.348,92.52,Height
ZdraviLudia,79.002,8429568,ok,1024,1024,float64,-683.729,205.839,-298.024,113.639,48.828,50.00,Height
ZdraviLudia,5P.002,8429568,ok,1024,1024,float64,-795.137,1488.775,-281.211,173.120,90.348,92.52,Height
ZdraviLudia,Kontr_01.03.2024_LO.001,2138112,ok,512,512,float64,-1040.876,-435.322,-731.233,98.059,97.656,50.00,Height
ZdraviLudia,79.003,2138112,ok,512,512,float64,-837.683,47.392,-519.651,102.463,97.656,50.00,Height
ZdraviLudia,1P.001,8429568,ok,1024,1024,float64,-346.571,898.710,255.873,178.253,90.348,92.52,Height
ZdraviLudia,9P.002,8429568,ok,1024,1024,float64,-580.629,205.597,-208.630,107.797,90.348,92.52,Height
ZdraviLudia,Kontr_01.03.2024_LO_KVAP.007,2138112,ok,512,512,float64,-950.887,1406.556,-34.377,548.314,180.697,92.52,Height
ZdraviLudia,8P.002,8429568,ok,1024,1024,float64,-947.650,180.820,-436.437,213.104,90.348,92.52,Height
ZdraviLudia,2L.000,8429568,ok,1024,1024,float64,-651.981,563.127,-96.541,173.109,90.348,92.52,Height
ZdraviLudia,29.001,8429568,ok,1024,1024,float64,-1661.292,1992.141,-403.635,459.522,90.348,92.52,Height
ZdraviLudia,7.004,8429568,ok,1024,1024,float64,-492.186,560.417,-91.299,142.009,90.348,92.52,Height
ZdraviLudia,7.003,8429568,ok,1024,1024,float64,-196.377,1736.718,656.603,363.541,90.348,92.52,Height
ZdraviLudia,Kontr_01.03.2024_LO_KVAP.008,8429568,ok,1024,1024,float64,-923.131,649.157,-280.522,236.651,90.348,92.52,Height
ZdraviLudia,7.002,8429568,ok,1024,1024,float64,-135.985,1222.125,291.293,140.753,90.348,92.52,Height
ZdraviLudia,2L.001,8429568,ok,1024,1024,float64,-675.358,1190.714,-74.494,233.570,90.348,92.52,Height
ZdraviLudia,Kontr_01.03.2023_LO.016,565248,ok,256,256,float64,-918.043,320.798,-570.837,162.804,195.312,50.00,Height
ZdraviLudia,1L_M.000,2138112,ok,512,512,float64,-351.152,1119.630,281.821,219.122,180.697,92.52,Height
ZdraviLudia,9L.002,8429568,ok,1024,1024,float64,-150.265,1580.605,348.556,167.422,90.348,92.52,Height
ZdraviLudia,1L_M.001,8429568,ok,1024,1024,float64,-560.215,962.227,149.365,249.117,90.348,92.52,Height
ZdraviLudia,49.003,69378048,ok,2944,2944,float64,-594.669,749.737,179.376,256.219,16.984,50.00,Height
